Symbiont.ID,Clade group,psbaID
Plate1_A011,PverC1,psba1_A01
Plate1_C003,PunkC2,psba1_C01
Plate1_C005,PunkC2,psba1_D01
Plate1_C009,PmeaC1,psba1_E01
Plate1_D008,PmeaC1,psba1_F01
Plate1_G003,PunkC1,psba1_H01
Plate1_H005,PmeaC1,psba1_A02
Plate1_H010,PmeaC3,psba1_B02
Plate2_A004,PmeaC2,psba1_C02
Plate2_A006,PmeaC3,psba1_D02
Plate2_A011,PmeaC2,psba1_E02
Plate2_B009,PverC2,psba1_F02
Plate2_C004,PunkC1,psba1_G02
Plate2_C005,PverC1,psba1_H02
Plate2_C007,PunkC3,psba1_A03
Plate2_D001,PmeaC1,psba1_B03
Plate2_D005,PverC1,psba1_C03
Plate2_D011,PunkC3,psba1_D03
Plate2_E001,PmeaC2,psba1_E03
Plate2_E002,PverC5,psba1_F03
Plate2_E006,PmeaC4,psba1_G03
Plate2_E010,PverC3,psba1_A04
Plate2_E012,PmeaC4,psba1_B04
Plate2_F006,PverC1,psba1_C04
Plate2_G005,PverC4,psba1_D04
Plate2_G006,PunkC2,psba1_E04
Plate2_G007,PunkC2,psba1_F04
Plate2_G010,PverC4,psba1_G04
Plate2_H001,PmeaC2,psba1_H04
Plate3_A002,PverC3,psba1_A05
Plate3_C011,PunkC3,psba1_C05
Plate3_D003,PverC5,psba1_G05
Plate3_D005,PverC1,psba1_D05
Plate3_D007,PverC4,psba1_E05
Plate3_D008,PunkC1,psba1_F05
Plate3_G006,PverC1,psba1_H05
Plate3_G010,PmeaC3,psba1_B01
Plate3_G011,PverC1,psba1_A06
Plate3_H005,PverC2,psba1_H03
Plate3_H006,PverC5,psba1_B06
Plate3_H007,PunkC3,psba1_C06
Plate4_A006,PmeaC3,psba1_B05
Plate4_A008,PverC2,psba1_D06
Plate4_C001,PunkC1,psba1_E06
Plate4_D005,PverC1,psba1_F06
Plate4_E007,PmeaC4,psba1_G06
Plate4_G002,PverC3,psba1_H06
Plate4_H008,PmeaC4,psba1_G01
Plate5_A002,AcroC1,psba1_A07
Plate5_A003,AcroC10,psba1_B07
Plate5_A010,AcroC7,psba1_C07
Plate5_A011,AcroC2,psba1_D07
Plate5_B004,AcroC9,psba1_E07
Plate5_B009,AcroC7,psba1_F07
Plate5_C006,AcroC8,psba1_G07
Plate5_D005,AcroC4,psba1_H07
Plate5_D008,AcroC6,psba1_A08
Plate5_E001,AcroC1,psba1_B08
Plate5_E002,AcroC5,psba1_C08
Plate5_E003,AcroC9,psba1_D08
Plate5_E009,AcroC7,psba1_E08
Plate5_F001,AcroC1,psba1_F08
Plate5_G004,AcroC9,psba1_G08
Plate5_G005,AcroC10,psba1_H08
Plate5_H011,AcroC2,psba1_B09
Plate6_A003,AcroC4,psba1_C09
Plate6_A004,AcroC4,psba1_D09
Plate6_A008,AcroC6,psba1_E09
Plate6_B005,AcroC8,psba1_F09
Plate6_B006,AcroC3,psba1_G09
Plate6_B011,AcroC3,psba1_H09
Plate6_C006,AcroC3,psba1_A10
Plate6_C009,AcroC2,psba1_B10
Plate6_D002,AcroC1,psba1_C10
Plate6_D011,AcroC2,psba1_D10
Plate6_D012,AcroC11,psba1_E10
Plate6_E001,AcroC5,psba1_F10
Plate6_E002,AcroC11,psba1_G10
Plate6_E012,AcroC5,psba1_H10
Plate6_F003,AcroC9,psba1_A11
Plate6_F004,AcroC6,psba1_B11
Plate6_G002,AcroC10,psba1_C11
Plate6_H002,AcroC4,psba1_E11
Plate7_A002,AcroC10,psba1_F11
Plate7_A010,AcroC11,psba1_D11
Plate7_B007,AcroC8,psba1_G11
Plate7_C004,AcroC7,psba1_A09
Plate7_C005,AcroC5,psba1_H11
Plate7_C008,AcroC5,psba1_A12
Plate7_D003,AcroC8,psba1_B12
Plate7_E007,AcroC5,psba1_C12
Plate7_F003,AcroC3,psba1_D12
Plate7_H004,AcroC6,psba1_E12
Plate7_H009,AcroC11,psba1_F12